made H have same vol number as assay partner but 0 for strain,,,,,,,,,,natural log ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assay,time(hr),strain,organism,Vol_number,rep1,rep2,rep3,rep4,raw_abundance,log_abundance,HOOH_stdv,log_sigma,oriSource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,0,MIT9215,P,1,1.27E+06,1.34E+06,1.37E+06,1.43E+06,NA,6.13099407,NA,0.020780682,BCC-2-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,1,MIT9215,P,1,1.72E+06,1.71E+06,1.74E+06,1.79E+06,NA,6.241413718,NA,0.008744278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,2,MIT9215,P,1,2.11E+06,1.93E+06,2.04E+06,2.05E+06,NA,6.307766859,NA,0.016154379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,5,MIT9215,P,1,2.86E+06,2.76E+06,2.90E+06,2.81E+06,NA,6.45207823,NA,0.009139956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,0,0,H,1,NA,NA,NA,NA,49.92971723,1.698359106,1.463536637,0.165403599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,1,0,H,1,NA,NA,NA,NA,65.66672954,1.817345387,3.157419907,0.499332343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,2,0,H,1,NA,NA,NA,NA,17.54429653,1.244135959,1.254635944,0.098517726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,5,0,H,1,NA,NA,NA,NA,29.15129363,1.464657832,0.479462989,-0.319244912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,0,MIT9215,P,1,1.29E+06,1.32E+06,1.28E+06,1.37E+06,NA,6.118847265,NA,0.01427694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,1,MIT9215,P,1,1.21E+06,1.18E+06,1.18E+06,1.15E+06,NA,6.070861812,NA,0.008677895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,2,MIT9215,P,1,1.52E+04,1.88E+04,2.46E+04,2.78E+04,NA,4.320247519,NA,0.118090138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
