assay,Time(days),HOOH_treat,monoculture,coculture,strain,Plank_type,Vol_number,rep1,rep2,rep3,rep4,HOOH_avg,HOOH_stdv,method,oriSource,,,,,,,,,,
0_abiotic,0,FALSE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,66.3697642,0.1252159,,Cocultures-1-31-20-BCC,,,,,,,,,,
0_abiotic,1,FALSE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,69.270257,0.46903957,,Cocultures-1-31-20-BCC,,,,,,,,,,
0_abiotic,4,FALSE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,97.4621352,4.03645763,,Cocultures-1-31-20-BCC,,,,,,,,,,
0_abiotic,6,FALSE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,145.457945,1.2806979,,Cocultures-1-31-20-BCC,,,,,,,,,,
0_abiotic,8,FALSE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,138.622831,4.28561233,,Cocultures-1-31-20-BCC,,,,,,,,,,
400_abiotic,0,TRUE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,362.83293,5.84183189,,Cocultures-1-31-20-BCC,,,,,,,,,,
400_abiotic,1,TRUE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,372.155601,7.58882317,,Cocultures-1-31-20-BCC,,,,,,,,,,
400_abiotic,4,TRUE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,380.154734,3.30706562,,Cocultures-1-31-20-BCC,,,,,,,,,,
400_abiotic,6,TRUE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,433.228755,5.86528987,,Cocultures-1-31-20-BCC,,,,,,,,,,
400_abiotic,8,TRUE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,403.759479,2.28777103,,Cocultures-1-31-20-BCC,,,,,,,,,,
0_abiotic,0,FALSE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,45.58969147,0.695368005,,Cocultures-2-5-20-BCC,,,,,,,,,,
0_abiotic,1,FALSE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,75.42706444,2.805770458,,Cocultures-2-5-20-BCC,,,,,,,,,,
0_abiotic,2,FALSE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,62.87439137,2.008528009,,Cocultures-2-5-20-BCC,,,,,,,,,,
0_abiotic,5,FALSE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,102.7593463,3.363118464,,Cocultures-2-5-20-BCC,,,,,,,,,,
400_abiotic,0,TRUE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,337.057381,7.056882053,,Cocultures-2-5-20-BCC,,,,,,,,,,
400_abiotic,1,TRUE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,331.8148806,0.191893166,,Cocultures-2-5-20-BCC,,,,,,,,,,
400_abiotic,2,TRUE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,274.1739735,2.11708484,,Cocultures-2-5-20-BCC,,,,,,,,,,
400_abiotic,5,TRUE,FALSE,FALSE,abiotic,NA,NA,NA,NA,NA,NA,275.665427,1.149111092,,Cocultures-2-5-20-BCC,,,,,,,,,,
