organism,strain,Vol_num,Qnp,k2,k1,ksp,dp,kdam,phi,SN,rho,Sh,deltah,H0,N0,P0
Synechococcus,WH8102,44,1.42857E-06,0.8,0.00001,80000,0.2,1.80E-03,8.50E-07,7.00E+00,0.2,6,0.2,80,50000,10000
Synechococcus,WH7803,28,1.42857E-06,0.8,0.00001,80000,0.2,3.00E-04,1.10E-06,7.00E+00,0.2,6,0.2,80,50000,10000
Synechococcus,WH7803,52,1.42857E-06,0.8,0.00001,80000,0.2,3.00E-04,1.10E-06,7.00E+00,0.2,6,0.2,80,50000,10000
Synechococcus,CC9605,53,1.42857E-06,0.8,0.00001,80000,0.2,0.0009,7.00E-07,7.00E+00,0.2,6,0.2,80,50000,10000
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
