assay,time,strain,organism,Vol_number,rep1,rep2,rep3,rep4,raw_abundance,log_abundance,HOOH_stdv,log_sigma,oriSource,,,,,,,,,,
P_plus_0,0,MIT9215,P,1,3.17E+05,3.21E+05,2.62E+05,3.09E+05,301235.7588,2.19E+01,NA,0.040483016,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_0,1,MIT9215,P,1,5.00E+05,5.03E+05,4.68E+05,4.87E+05,489164.0878,2.28E+01,NA,0.014209055,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_0,4,MIT9215,P,1,7.87E+05,8.53E+05,8.43E+05,9.27E+05,850860.5728,2.37E+01,NA,0.029014031,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_0,6,MIT9215,P,1,1.45E+06,1.49E+06,1.53E+06,1.51E+06,1494535.109,2.47E+01,NA,0.009805713,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_0,8,MIT9215,P,1,2.44E+06,2.43E+06,2.35E+06,2.49E+06,2425326.07,2.55E+01,NA,0.010239792,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_0,0,NA,H,0,NA,NA,NA,NA,82.94413821,1.92E+00,3.097956977,0.491075382,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_0,1,NA,H,0,NA,NA,NA,NA,74.22571446,1.87E+00,4.317943116,0.635276917,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_0,4,NA,H,0,NA,NA,NA,NA,92.65888937,1.97E+00,7.831240738,0.893830575,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_0,6,NA,H,0,NA,NA,NA,NA,81.19654549,1.91E+00,0.916071322,-0.038070712,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_0,8,NA,H,0,NA,NA,NA,NA,27.23810523,1.44E+00,0.849211931,-0.070983913,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_0,0,WH7803,S,28,6.87E+04,7.10E+04,7.42E+04,7.08E+04,71154.20251,1.94E+01,NA,0.013848068,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_0,1,WH7803,S,28,1.29E+05,1.26E+05,1.31E+05,1.19E+05,126273.866,2.04E+01,NA,0.017564773,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_0,4,WH7803,S,28,2.48E+05,2.47E+05,2.38E+05,2.41E+05,243249.6399,2.15E+01,NA,0.00902233,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_0,6,WH7803,S,28,4.97E+05,5.13E+05,4.82E+05,4.62E+05,488133.0622,2.28E+01,NA,0.019278974,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_0,8,WH7803,S,28,1.02E+06,1.01E+06,7.76E+05,7.90E+05,892840.7469,2.38E+01,NA,0.06576507,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_0,0,NA,H,0,NA,NA,NA,NA,79.87748236,1.90E+00,0.503874205,-0.297677874,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_0,1,NA,H,0,NA,NA,NA,NA,69.64367677,1.84E+00,1.951016606,0.290260966,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_0,4,NA,H,0,NA,NA,NA,NA,73.26350754,1.86E+00,3.607009763,0.557147318,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_0,6,NA,H,0,NA,NA,NA,NA,52.9014676,1.72E+00,1.397671024,0.145404962,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_0,8,NA,H,0,NA,NA,NA,NA,14.87391267,1.17E+00,0.999906387,-4.06574E-05,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_400,0,MIT9215,P,1,3.02E+05,2.76E+05,2.76E+05,2.79E+05,282924.6489,2.18E+01,NA,0.019031619,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_400,1,MIT9215,P,1,2.63E+05,2.85E+05,2.70E+05,2.80E+05,274253.1062,2.18E+01,NA,0.015235105,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_400,4,MIT9215,P,1,1.13E+03,9.91E+02,1.13E+03,1.56E+03,1186.123005,1.23E+01,NA,0.083414101,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_400,6,MIT9215,P,1,2.69E+03,1.13E+03,1.84E+03,2.55E+03,1945.057137,1.32E+01,NA,0.172745298,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_400,8,MIT9215,P,1,5.66E+03,5.38E+03,6.09E+03,5.24E+03,5581.790475,1.50E+01,NA,0.028735235,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_400,0,NA,H,0,NA,NA,NA,NA,361.3762614,2.56E+00,4.443382821,0.647713732,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_400,1,NA,H,0,NA,NA,NA,NA,380.665843,2.58E+00,3.870223528,0.587736049,Cocultures-1-31-20-BCC,,,,,,,,,,
P_plus_400,4,NA,H,0,NA,NA,NA,NA,378.1443141,2.58E+00,2.772563323,0.442881474,Cocultures-1-31-20-BCC,,,,,,,,,,
